                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6756,                 1.6337,                 1.6285,                0.64638,                0.65258,                0.66944,                0.35925,                 1.5265,                 1.4172,                 1.5916,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.6662,                 1.6107,                 1.6182,                0.70974,                0.67004,                0.70049,                0.38102,                 1.5427,                 1.3975,                 1.5939,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.6482,                  1.584,                 1.6107,                0.66267,                0.66656,                0.68752,                0.38794,                 1.4738,                  1.355,                 1.5441,             0.00054478,             0.00054478,             0.00054478
                     37,                  1.642,                  1.541,                 1.5944,                0.69955,                0.66198,                0.70905,                0.39741,                  1.469,                  1.336,                 1.5295,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.6286,                 1.5496,                 1.5845,                0.69138,                0.66218,                0.69958,                0.39087,                 1.4559,                 1.3331,                 1.5269,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.6242,                 1.5313,                 1.5697,                0.73256,                0.69942,                0.72723,                0.41215,                 1.4816,                  1.329,                 1.5391,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.6159,                 1.5399,                  1.576,                0.70927,                0.70196,                0.72864,                0.41884,                 1.4307,                 1.3027,                 1.5073,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.5705,                 1.4759,                 1.5637,                0.74143,                0.70466,                0.73791,                0.42005,                 1.4207,                 1.2828,                 1.4922,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.5407,                 1.4272,                 1.5456,                0.74565,                0.72034,                0.75333,                0.43357,                 1.4124,                 1.2702,                 1.4899,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.5332,                 1.3702,                 1.5403,                0.74093,                0.69963,                0.74915,                0.43601,                 1.3937,                 1.2554,                 1.4802,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.5004,                 1.3513,                 1.5298,                0.74747,                0.72636,                0.76811,                 0.4515,                 1.3633,                 1.2294,                 1.4591,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.4896,                   1.32,                 1.5301,                0.79469,                0.75088,                0.79052,                0.46854,                 1.3874,                 1.1866,                 1.4727,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.4896,                 1.3084,                  1.514,                0.75835,                0.74087,                0.77968,                0.45804,                 1.3496,                 1.1961,                 1.4444,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.4744,                 1.3033,                 1.5132,                0.77572,                0.74333,                0.78665,                0.46488,                 1.3428,                 1.1755,                 1.4388,              0.0001817,              0.0001817,              0.0001817
                     48,                  1.475,                  1.277,                 1.4981,                0.78588,                0.75577,                0.79265,                0.48431,                 1.3412,                 1.1505,                 1.4403,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.4662,                 1.2664,                 1.5015,                0.79412,                0.75343,                0.79738,                0.48454,                 1.3261,                 1.1343,                  1.433,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.4509,                 1.2356,                 1.4814,                0.79406,                0.75391,                 0.8005,                 0.4844,                 1.3126,                 1.1186,                 1.4228,             8.2683e-05,             8.2683e-05,             8.2683e-05
