                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.586,                 2.5941,                 3.5185,                0.84884,                0.68048,                0.85015,                0.55471,                 1.8577,                 2.1168,                 2.2359,               0.070059,              0.0033268,              0.0033268
                      1,                0.83732,                0.85935,                 1.6246,                  0.996,                0.99574,                0.99497,                0.99105,                0.27519,                0.37686,                  0.512,               0.039234,               0.005836,               0.005836
                      2,                 0.3665,                0.46338,                 1.0624,                0.99776,                 0.9975,                0.99493,                0.99386,                 0.2444,                0.33672,                0.37271,              0.0075852,              0.0075201,              0.0075201
                      3,                0.26075,                0.35715,                0.97258,                0.99751,                0.99922,                0.99499,                0.99465,                 0.1448,                0.18963,                0.24868,              0.0062875,              0.0062875,              0.0062875
                      4,                0.21808,                0.31374,                0.94272,                0.99255,                0.99833,                0.99486,                0.99429,                0.14814,                0.18541,                0.23875,              0.0062875,              0.0062875,              0.0062875
                      5,                 0.1786,                0.27754,                0.92391,                0.99963,                 0.9995,                  0.995,                0.99488,                0.09886,                0.10268,                0.18009,                0.00505,                0.00505,                0.00505
                      6,                0.14771,                0.24674,                0.90738,                0.99999,                 0.9995,                  0.995,                0.99493,                0.09065,                0.17932,                0.15964,              0.0038125,              0.0038125,              0.0038125
                      7,                0.12349,                0.22223,                0.90418,                 0.9995,                0.99793,                  0.995,                0.99496,                0.11984,                0.18517,                0.19374,               0.002575,               0.002575,               0.002575
