                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6732,                 4.4228,                 4.2439,                0.00099,                 0.2332,                0.00144,                0.00046,                 3.4785,                 4.5223,                 4.1589,             0.00013336,             0.00013336,             0.00013336
                      2,                 3.7308,                 4.3959,                 4.2158,                0.00116,                0.26785,                0.00141,                0.00051,                 3.4772,                 4.5227,                 4.1557,             0.00027217,             0.00027217,             0.00027217
                      3,                 3.5602,                  4.286,                 4.1612,                0.00111,                0.26617,                0.00326,                0.00106,                 3.4738,                 4.5198,                 4.1479,             0.00039909,             0.00039909,             0.00039909
                      4,                 3.7266,                  4.262,                  4.128,                0.00116,                0.26785,                 0.0027,                0.00091,                   3.47,                 4.5069,                 4.1359,             0.00051414,             0.00051414,             0.00051414
                      5,                 3.7827,                 4.2348,                 4.0706,                0.00112,                0.26617,                0.01138,                0.00434,                 3.4389,                  4.492,                 4.1037,              0.0006173,              0.0006173,              0.0006173
                      6,                 3.5499,                 4.1219,                 4.0315,                0.00106,                0.23656,                0.00158,                 0.0006,                 3.4356,                 4.4598,                 4.0939,             0.00070858,             0.00070858,             0.00070858
                      7,                  3.521,                 4.1013,                 3.9413,                0.00104,                0.24419,                0.00182,                0.00066,                 3.4575,                 4.4705,                 4.0694,             0.00078797,             0.00078797,             0.00078797
                      8,                 3.6828,                 4.0203,                 3.8704,                0.00108,                0.26068,                0.01054,                0.00494,                 3.4534,                 4.5069,                 4.0908,             0.00085548,             0.00085548,             0.00085548
                      9,                 3.4814,                 3.9241,                 3.7526,                 0.0014,                0.21915,                0.00153,                0.00058,                 3.4262,                 4.3742,                 4.1597,             0.00091112,             0.00091112,             0.00091112
                     10,                 3.4583,                 3.8726,                 3.6685,                0.00117,                0.26403,                0.00907,                0.00434,                 3.4318,                 4.3093,                 4.1143,             0.00095486,             0.00095486,             0.00095486
                     11,                 3.4347,                 3.8542,                 3.5473,                0.00119,                0.26571,                  0.014,                0.00593,                 3.4505,                 4.2714,                 4.1181,             0.00098673,             0.00098673,             0.00098673
                     12,                 3.3177,                 3.8598,                 3.5309,                0.55215,                0.03846,                 0.0192,                0.00654,                 3.5878,                 4.1753,                 3.6539,             0.00094085,             0.00094085,             0.00094085
                     13,                  3.364,                 3.8748,                 3.4899,                0.56412,                0.03846,                0.02074,                0.00762,                 3.5359,                 4.3203,                 3.8671,             0.00094085,             0.00094085,             0.00094085
                     14,                 3.3961,                 3.8391,                 3.4551,                0.55187,                0.03846,                0.02048,                0.00595,                 3.4296,                 4.4391,                 3.6317,             0.00087484,             0.00087484,             0.00087484
                     15,                 3.3518,                 3.8256,                  3.465,                0.60088,                0.03297,                0.02742,                0.00765,                 3.2879,                 4.8331,                 3.2971,             0.00080883,             0.00080883,             0.00080883
                     16,                 2.8549,                 4.0833,                 3.3093,                0.60042,                0.02198,                0.02468,                0.00542,                  3.112,                 4.6198,                 3.1022,             0.00074282,             0.00074282,             0.00074282
                     17,                 2.8948,                 4.1209,                 3.1957,                0.60779,                0.03297,                0.03421,                0.01223,                 2.9344,                 4.1423,                 3.0328,              0.0006768,              0.0006768,              0.0006768
                     18,                 2.8268,                 4.0746,                 3.1607,                0.55732,                0.06593,                0.03309,                0.01312,                 2.8356,                 4.1115,                 3.0173,             0.00061079,             0.00061079,             0.00061079
                     19,                 2.8387,                 3.9699,                 3.1471,                0.08831,                0.06593,                0.04054,                0.01455,                 2.7213,                 4.1657,                 3.0038,             0.00054478,             0.00054478,             0.00054478
                     20,                  2.742,                 3.8685,                 3.0797,                0.13376,                0.08959,                 0.0499,                0.01734,                 2.6994,                 4.3251,                 3.0629,             0.00047876,             0.00047876,             0.00047876
                     21,                 2.7159,                 3.8861,                   3.07,                0.14938,                0.10515,                0.05943,                0.01958,                 2.6705,                 4.0409,                  3.016,             0.00041275,             0.00041275,             0.00041275
                     22,                  2.727,                 3.8403,                 3.0275,                0.18068,                0.16754,                0.07795,                0.02679,                 2.6573,                 3.7661,                 2.9237,             0.00034674,             0.00034674,             0.00034674
                     23,                 2.7712,                 3.6745,                  2.958,                0.16711,                0.20603,                0.09586,                0.03238,                 2.6755,                 3.6503,                 2.8827,             0.00028072,             0.00028072,             0.00028072
                     24,                 2.6791,                 3.7526,                 3.0054,                0.19607,                0.18283,                0.11171,                0.03759,                  2.655,                 3.6098,                 2.8406,             0.00021471,             0.00021471,             0.00021471
                     25,                 2.6117,                  3.705,                 2.9173,                0.20898,                0.17138,                0.11105,                0.03463,                 2.6445,                 3.6233,                 2.8255,              0.0001487,              0.0001487,              0.0001487
