                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7934,                 6.2528,                 4.2106,                0.00038,                0.01493,                 0.0002,                  9e-05,                 3.3719,                 5.7565,                 4.1427,                  0.091,                  0.001,                  0.001
                      1,                 3.6771,                 4.9954,                 4.1753,                0.00032,                0.00263,                0.00017,                0.00012,                 3.3977,                 5.1245,                 4.1177,               0.081079,              0.0020792,              0.0020792
                      2,                 3.6282,                 4.8957,                 4.1316,                0.00034,                0.00263,                0.00017,                0.00013,                 3.4233,                 4.7992,                 4.0903,               0.071137,              0.0031366,              0.0031366
                      3,                 3.7359,                 4.6027,                 4.0903,                0.00033,                0.00263,                0.00017,                0.00012,                 3.4353,                 4.7518,                 4.0742,               0.061172,              0.0041723,              0.0041723
                      4,                 3.9403,                 4.5568,                 4.0772,                0.00033,                0.00263,                0.00017,                0.00012,                 3.4579,                 4.7374,                 4.0552,               0.051186,              0.0051862,              0.0051862
                      5,                 3.8906,                 4.7015,                 4.0598,                0.00032,                0.00263,                0.00017,                0.00012,                 3.4744,                 4.7253,                 4.0384,               0.041178,              0.0061782,              0.0061782
                      6,                 3.8897,                 4.4951,                 4.0241,                0.00032,                0.00263,                0.00017,                0.00012,                 3.4853,                  4.714,                 4.0242,               0.031149,              0.0071486,              0.0071486
                      7,                 3.5202,                 4.3427,                 4.0157,                0.00032,                0.00263,                0.00017,                0.00012,                 3.5006,                 4.6637,                 3.9988,               0.021097,              0.0080971,              0.0080971
                      8,                 3.8152,                 4.3884,                 3.9552,                0.00032,                0.00263,                0.00017,                0.00012,                 3.5284,                 4.6153,                 4.0016,               0.011024,              0.0090238,              0.0090238
                      9,                  3.558,                  4.271,                 3.8964,                0.00041,                0.00088,                0.00021,                0.00015,                 3.6226,                 4.5694,                 4.1735,               0.009109,               0.009109,               0.009109
                     10,                  3.689,                 4.1712,                 3.8726,                0.00569,                0.01317,                0.00295,                0.00113,                 3.4943,                 4.4572,                 3.9286,               0.009109,               0.009109,               0.009109
                     11,                 3.4095,                 4.2996,                 3.8529,                0.00624,                 0.0158,                 0.0032,                0.00104,                 3.3487,                 5.1438,                 3.8859,                0.00901,                0.00901,                0.00901
                     12,                 3.3841,                 4.0142,                 3.6698,                0.00916,                0.02809,                0.00786,                0.00227,                 3.3172,                 4.2013,                 4.4457,               0.008911,               0.008911,               0.008911
                     13,                 3.0606,                 3.8471,                 3.5522,                0.00565,                0.01844,                  0.003,                0.00126,                 3.2888,                 4.9502,                  5.446,               0.008812,               0.008812,               0.008812
                     14,                 3.1792,                  3.825,                 3.4009,                0.64015,                0.00527,                0.00603,                0.00172,                 3.4105,                 5.4979,                 5.7995,               0.008713,               0.008713,               0.008713
                     15,                 3.0156,                 3.7444,                 3.2094,                0.01548,                0.00263,                0.00122,                0.00058,                 3.9093,                 6.4323,                 6.9586,               0.008614,               0.008614,               0.008614
                     16,                 2.9074,                 3.5992,                 3.2164,                0.01998,                0.00439,                0.00594,                0.00256,                 3.5172,                 6.1152,                 5.0952,               0.008515,               0.008515,               0.008515
                     17,                  2.979,                 3.5464,                 3.0081,                0.07333,                0.04565,                0.01349,                0.00479,                 2.9599,                 4.2669,                 3.3307,               0.008416,               0.008416,               0.008416
                     18,                 2.8786,                  3.439,                 2.8978,                0.14774,                0.05403,                 0.0282,                0.00891,                 2.7243,                   3.87,                 2.8045,               0.008317,               0.008317,               0.008317
                     19,                 2.7411,                 3.2822,                 2.7943,                0.18384,                0.05619,                0.03619,                0.01319,                  2.755,                 3.4183,                 2.7718,               0.008218,               0.008218,               0.008218
                     20,                 2.7717,                 2.9402,                 2.5772,                0.27179,                0.06936,                0.05221,                0.01601,                 2.8945,                 4.7488,                 2.6373,               0.008119,               0.008119,               0.008119
                     21,                 2.7764,                 2.6955,                 2.4737,                0.22669,                0.07155,                 0.0515,                0.01627,                 2.8595,                 3.0581,                 2.5684,                0.00802,                0.00802,                0.00802
                     22,                 2.8202,                 2.7481,                 2.3034,                0.23583,                0.09482,                0.05669,                0.01822,                 2.6841,                  3.119,                 2.2429,               0.007921,               0.007921,               0.007921
                     23,                 2.5511,                 2.5733,                 2.2923,                0.26388,                 0.1115,                0.07335,                0.02775,                 2.5865,                 2.8757,                 2.1977,               0.007822,               0.007822,               0.007822
                     24,                 2.6388,                 2.4767,                 2.2058,                0.21007,                0.13169,                0.06933,                 0.0243,                 2.5121,                 2.6502,                 2.0194,               0.007723,               0.007723,               0.007723
                     25,                 2.5024,                 2.4558,                 2.1548,                0.31392,                  0.141,                0.08452,                0.03059,                 2.5705,                 2.7426,                 1.9383,               0.007624,               0.007624,               0.007624
                     26,                 2.6537,                 2.3499,                 1.9955,                0.27268,                0.15891,                0.10108,                0.03528,                 2.4617,                 2.4939,                 1.9256,               0.007525,               0.007525,               0.007525
                     27,                 2.6066,                 2.2366,                 1.8848,                0.29076,                0.18086,                0.11359,                0.04143,                 2.4991,                 3.0669,                  1.888,               0.007426,               0.007426,               0.007426
                     28,                 2.4878,                 2.2721,                 1.9281,                0.30149,                0.15189,                0.10235,                0.03362,                 2.4817,                 2.6649,                 1.9582,               0.007327,               0.007327,               0.007327
                     29,                 2.5336,                 2.2682,                 1.9892,                0.24578,                0.14486,                0.09208,                0.03752,                 2.4734,                 4.3363,                 1.8219,               0.007228,               0.007228,               0.007228
                     30,                 2.5236,                 2.1452,                 1.8092,                 0.2803,                0.12891,                0.08128,                0.02355,                 2.6412,                 2.3131,                 1.9234,               0.007129,               0.007129,               0.007129
                     31,                 2.5467,                 2.0421,                 1.8854,                0.31551,                0.13257,                0.09188,                0.02784,                   2.67,                 2.4598,                 1.9761,                0.00703,                0.00703,                0.00703
                     32,                 2.3713,                 1.9873,                 1.7523,                0.24824,                0.17471,                0.11418,                 0.0439,                 2.4347,                 2.5242,                 1.7299,               0.006931,               0.006931,               0.006931
                     33,                 2.4805,                 1.9815,                 1.8131,                0.24051,                0.09658,                0.06428,                0.01927,                 2.5906,                 2.9223,                 1.9723,               0.006832,               0.006832,               0.006832
                     34,                 2.5084,                 2.1035,                 1.8852,                 0.3214,                0.19403,                 0.1315,                0.04855,                 2.3105,                  2.441,                 1.6397,               0.006733,               0.006733,               0.006733
                     35,                 2.4131,                 1.9808,                 1.8261,                0.37359,                0.20369,                0.15276,                0.05094,                 2.3792,                 1.9286,                  1.651,               0.006634,               0.006634,               0.006634
                     36,                 2.3421,                 1.8931,                  1.775,                0.42933,                0.25198,                0.19053,                0.07215,                 2.1657,                 1.8086,                 1.5489,               0.006535,               0.006535,               0.006535
                     37,                 2.3109,                 1.8401,                 1.7323,                0.18726,                0.20544,                 0.0697,                 0.0279,                 2.1317,                 4.3841,                 1.5476,               0.006436,               0.006436,               0.006436
                     38,                 2.1861,                 1.7769,                 1.7081,                0.31491,                0.23968,                0.12982,                0.05325,                 2.0923,                  3.397,                 1.5445,               0.006337,               0.006337,               0.006337
                     39,                 2.2412,                 1.7696,                  1.569,                0.47607,                0.24056,                0.19755,                0.07635,                 2.0887,                 1.7788,                 1.4984,               0.006238,               0.006238,               0.006238
                     40,                 2.2052,                 1.6832,                 1.6371,                0.43692,                0.24934,                0.18278,                0.07623,                 2.0826,                 1.7972,                 1.4983,               0.006139,               0.006139,               0.006139
                     41,                 2.2071,                 1.7605,                 1.7139,                0.29693,                0.20457,                0.11467,                0.04468,                 2.1876,                 2.4837,                 1.5762,                0.00604,                0.00604,                0.00604
                     42,                 2.1203,                 1.6896,                  1.696,                0.49665,                0.27217,                0.25313,                0.11401,                 1.9882,                 1.6519,                 1.4854,               0.005941,               0.005941,               0.005941
                     43,                 2.1469,                 1.7314,                 1.6738,                0.47041,                0.28797,                0.22013,                0.09215,                 2.0023,                 1.6849,                 1.4543,               0.005842,               0.005842,               0.005842
                     44,                 2.1555,                 1.6138,                 1.5076,                0.48827,                 0.2827,                0.25986,                 0.1088,                 2.0091,                 1.6242,                 1.4641,               0.005743,               0.005743,               0.005743
