                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 3.0408,                 3.7518,                 3.1569,                0.54527,                0.06044,                0.03539,                0.01088,                 3.0159,                  4.327,                 3.1347,              0.0014195,              0.0014195,              0.0014195
                     18,                 3.0916,                 3.6595,                 3.1724,                0.13283,                0.12025,                0.04353,                0.01376,                 2.9571,                 4.0129,                 2.9719,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.9178,                 3.5627,                 3.0355,                0.10751,                0.13032,                0.05938,                0.02039,                 2.8698,                 4.3903,                 2.9169,              0.0013864,              0.0013864,              0.0013864
                     20,                  2.842,                 3.4641,                 2.9283,                0.13021,                0.17168,                0.07166,                0.02415,                 2.7826,                 4.6447,                 2.9138,              0.0013699,              0.0013699,              0.0013699
                     21,                  2.846,                 3.4188,                 2.9409,                 0.1373,                 0.1242,                0.08237,                0.03191,                 2.6544,                 4.6003,                 2.8255,              0.0013534,              0.0013534,              0.0013534
                     22,                 2.8438,                 3.4447,                 2.9166,                0.20594,                0.12114,                0.04778,                0.01867,                 2.6422,                 4.8006,                 2.8802,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.8614,                 3.3816,                 2.9156,                0.14957,                0.08209,                0.05326,                0.01834,                 2.6029,                 4.1947,                 2.8545,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.8136,                 3.4404,                 2.8659,                0.53219,                0.10989,                0.03173,                 0.0081,                 2.6036,                 6.5363,                 2.8697,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.8287,                 3.3784,                 2.8445,                0.06103,                  0.177,                0.01565,                0.00427,                  2.644,                 4.5152,                 2.9849,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.7037,                 3.2955,                 2.8041,                0.06463,                0.15473,                0.03432,                0.01344,                 2.5256,                 3.7061,                 2.7468,              0.0012709,              0.0012709,              0.0012709
                     27,                  2.668,                 3.1746,                 2.7395,                0.05428,                 0.1955,                0.03289,                0.01369,                 2.5119,                 3.6138,                 2.7708,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.7926,                 3.3045,                 2.8702,                0.10058,                0.19306,                0.07129,                0.03337,                 2.4779,                 3.6774,                 2.6932,              0.0012379,              0.0012379,              0.0012379
                     29,                 2.7276,                 3.2106,                  2.792,                0.13028,                0.22261,                0.08529,                0.03627,                 2.4275,                 3.3233,                 2.6136,              0.0012214,              0.0012214,              0.0012214
                     30,                 2.6762,                   3.11,                 2.7316,                0.17577,                0.17312,                0.10821,                0.04659,                 2.3553,                 3.5867,                 2.5676,              0.0012049,              0.0012049,              0.0012049
                     31,                 2.6956,                 3.1324,                  2.742,                0.09117,                0.32003,                0.06589,                0.02702,                 2.4157,                 3.9513,                 2.5797,              0.0011884,              0.0011884,              0.0011884
                     32,                 2.6329,                 3.1439,                 2.7668,                0.24135,                0.08959,                0.08896,                0.03709,                  2.353,                 3.4412,                 2.5599,              0.0011719,              0.0011719,              0.0011719
                     33,                 2.6343,                 3.0501,                 2.6622,                0.59597,                0.19231,                0.12462,                0.04933,                 2.3653,                 3.4404,                 2.4992,              0.0011554,              0.0011554,              0.0011554
                     34,                 2.6133,                 2.9967,                 2.6432,                0.26781,                0.19671,                 0.1793,                0.07135,                 2.3974,                 3.0841,                 2.4901,              0.0011389,              0.0011389,              0.0011389
                     35,                 2.5698,                  3.018,                 2.5705,                0.20331,                  0.195,                 0.1453,                0.05145,                 2.3525,                  3.083,                 2.4388,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.5578,                 2.9888,                 2.5787,                0.22577,                0.28782,                0.13611,                 0.0516,                 2.3759,                 3.1113,                 2.5013,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.5594,                 2.9389,                 2.5288,                0.26973,                0.25546,                0.16993,                0.07507,                  2.305,                 2.9968,                 2.4574,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.5608,                 2.9295,                 2.5778,                0.22599,                0.27133,                0.17049,                0.07525,                 2.2992,                  2.843,                 2.4247,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.5134,                 2.8262,                  2.483,                0.23856,                0.25406,                 0.1993,                 0.0921,                 2.2804,                 2.8718,                 2.4276,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.5114,                 2.9255,                 2.5061,                0.26267,                0.24323,                0.19267,                0.08243,                  2.304,                 2.9251,                 2.4646,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.5708,                 2.9837,                 2.6004,                0.11226,                0.23212,                0.06038,                 0.0213,                 2.3218,                 4.0768,                 2.5589,              0.0010234,              0.0010234,              0.0010234
                     42,                  2.442,                 2.7727,                 2.4674,                0.60835,                0.04945,                0.05377,                0.01756,                 2.3619,                 3.9886,                  2.606,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.5174,                 2.8732,                  2.552,                0.19888,                0.25258,                0.12897,                 0.0503,                 2.2567,                  2.935,                 2.4095,             0.00099036,             0.00099036,             0.00099036
                     44,                 2.4743,                 2.7247,                 2.4418,                0.28547,                0.38991,                0.21044,                0.08121,                 2.2622,                 2.7231,                 2.3525,             0.00097386,             0.00097386,             0.00097386
                     45,                   2.51,                 2.7543,                 2.5001,                0.28413,                0.32215,                0.23045,                0.09258,                 2.2572,                 2.7154,                 2.3474,             0.00095736,             0.00095736,             0.00095736
                     46,                 2.4596,                 2.7152,                 2.4497,                0.25415,                0.32456,                0.19887,                0.08232,                 2.2299,                  2.709,                 2.3342,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.4954,                 2.7405,                 2.3986,                0.24787,                0.35794,                0.20611,                0.08619,                 2.2359,                 2.6677,                 2.3251,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.4201,                 2.6258,                  2.408,                0.26676,                0.42275,                0.21864,                0.08894,                 2.1892,                 2.7796,                 2.3035,             0.00090785,             0.00090785,             0.00090785
                     49,                 2.4068,                 2.6713,                 2.4085,                0.65388,                0.21429,                0.18941,                0.08059,                 2.1618,                 2.8448,                 2.2758,             0.00089134,             0.00089134,             0.00089134
                     50,                 2.3844,                   2.72,                 2.4309,                0.26715,                0.39985,                0.23552,                0.10064,                 2.1895,                 2.6899,                 2.2527,             0.00087484,             0.00087484,             0.00087484
                     51,                  2.418,                 2.6524,                 2.3396,                0.26574,                0.37938,                0.25213,                0.11036,                 2.2087,                 2.6343,                  2.268,             0.00085834,             0.00085834,             0.00085834
                     52,                 2.4344,                  2.699,                 2.3521,                0.28338,                0.30338,                0.24937,                0.10325,                 2.2184,                 2.7158,                 2.3043,             0.00084184,             0.00084184,             0.00084184
                     53,                 2.4114,                 2.6439,                 2.3223,                  0.363,                0.31885,                0.29279,                0.13372,                 2.1582,                 2.7685,                 2.2701,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.3626,                 2.5389,                 2.3014,                0.34783,                0.40715,                0.29977,                0.13388,                 2.1447,                 2.7133,                 2.2213,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.3155,                 2.6754,                 2.3392,                0.40513,                0.35039,                0.27969,                0.11904,                 2.1448,                   2.63,                 2.2241,             0.00079233,             0.00079233,             0.00079233
                     56,                 2.3421,                 2.5735,                 2.2705,                0.47101,                0.27594,                0.26068,                0.11336,                 2.1703,                 2.5958,                 2.2464,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.3356,                  2.613,                 2.3189,                0.49097,                0.36071,                0.31992,                0.14011,                  2.119,                 2.4913,                 2.1975,             0.00075932,             0.00075932,             0.00075932
                     58,                  2.356,                 2.6012,                 2.3045,                0.45403,                0.34647,                0.32895,                0.14066,                 2.0934,                 2.6448,                 2.1795,             0.00074282,             0.00074282,             0.00074282
                     59,                 2.3201,                 2.5496,                 2.2859,                0.36844,                0.36398,                0.28706,                0.12107,                  2.095,                 2.5747,                 2.2024,             0.00072631,             0.00072631,             0.00072631
                     60,                  2.287,                 2.4492,                 2.2526,                0.34376,                0.40224,                0.28219,                0.12208,                 2.0998,                 2.5044,                 2.2356,             0.00070981,             0.00070981,             0.00070981
                     61,                  2.368,                 2.5349,                 2.3265,                0.43902,                0.38533,                0.35352,                0.17358,                 2.0977,                 2.3809,                 2.1819,             0.00069331,             0.00069331,             0.00069331
                     62,                  2.255,                 2.4727,                 2.1738,                 0.3545,                 0.4012,                0.31997,                0.14104,                 2.1241,                 2.4127,                  2.165,              0.0006768,              0.0006768,              0.0006768
                     63,                 2.3555,                 2.4548,                 2.2574,                0.33028,                0.38125,                 0.2959,                0.13793,                 2.0883,                 2.4074,                 2.1423,              0.0006603,              0.0006603,              0.0006603
                     64,                 2.2832,                 2.4226,                 2.2546,                0.42387,                0.40054,                0.29552,                0.13884,                  2.086,                 2.4511,                 2.1682,              0.0006438,              0.0006438,              0.0006438
                     65,                 2.2341,                 2.4545,                 2.2271,                0.46995,                0.40823,                0.35863,                0.17534,                 2.0754,                 2.4233,                 2.1402,             0.00062729,             0.00062729,             0.00062729
                     66,                  2.261,                 2.4941,                 2.2661,                0.42182,                0.38915,                0.34306,                0.17474,                 2.0642,                 2.3764,                 2.1216,             0.00061079,             0.00061079,             0.00061079
                     67,                 2.2609,                  2.367,                 2.2048,                0.49939,                0.36471,                0.33996,                0.16383,                 2.0681,                 2.3316,                 2.1159,             0.00059429,             0.00059429,             0.00059429
                     68,                 2.3318,                 2.4662,                 2.2625,                0.44368,                0.39448,                0.37801,                0.17859,                 2.0521,                 2.3039,                 2.0975,             0.00057778,             0.00057778,             0.00057778
                     69,                   2.31,                 2.3941,                 2.1834,                0.42738,                0.42149,                0.37859,                0.18486,                 2.0073,                 2.3034,                 2.0881,             0.00056128,             0.00056128,             0.00056128
                     70,                 2.2379,                   2.39,                 2.1832,                0.33082,                0.43965,                0.33449,                 0.1522,                 2.0116,                 2.3441,                 2.1176,             0.00054478,             0.00054478,             0.00054478
                     71,                 2.2253,                 2.3863,                 2.1644,                0.30055,                0.45995,                0.31633,                0.14414,                 2.0418,                 2.3872,                 2.1351,             0.00052827,             0.00052827,             0.00052827
                     72,                 2.2532,                 2.3931,                 2.1793,                 0.4182,                0.49532,                0.38744,                0.19044,                 2.0236,                 2.2555,                 2.0888,             0.00051177,             0.00051177,             0.00051177
                     73,                 2.2823,                 2.3174,                  2.146,                0.41071,                0.49749,                0.39277,                0.19377,                 2.0034,                 2.2462,                 2.0561,             0.00049527,             0.00049527,             0.00049527
                     74,                 2.1749,                  2.208,                 2.1029,                0.41495,                0.47111,                0.39041,                0.19259,                 1.9708,                   2.25,                 2.0457,             0.00047876,             0.00047876,             0.00047876
                     75,                 2.2136,                 2.4571,                 2.2685,                0.44438,                0.46458,                0.38544,                0.19295,                 1.9459,                 2.3121,                  2.042,             0.00046226,             0.00046226,             0.00046226
                     76,                 2.2174,                 2.4173,                 2.2401,                0.34958,                0.51033,                0.37555,                0.18872,                 1.9175,                 2.3675,                 2.0238,             0.00044576,             0.00044576,             0.00044576
                     77,                  2.212,                 2.3047,                 2.0985,                0.37788,                0.46897,                0.37285,                 0.1837,                  1.953,                 2.3397,                 2.0458,             0.00042925,             0.00042925,             0.00042925
                     78,                 2.1843,                 2.3696,                   2.14,                0.41635,                0.41096,                0.37078,                0.18507,                 1.9815,                 2.2595,                 2.0712,             0.00041275,             0.00041275,             0.00041275
                     79,                 2.1844,                 2.3809,                 2.1769,                0.40174,                0.41642,                0.35176,                0.16769,                 2.0303,                 2.3123,                 2.1152,             0.00039625,             0.00039625,             0.00039625
                     80,                 2.1447,                  2.313,                 2.1382,                0.42892,                0.43726,                0.41517,                0.19424,                 2.0017,                 2.2303,                 2.0706,             0.00037974,             0.00037974,             0.00037974
                     81,                 2.1757,                  2.323,                 2.1229,                0.47184,                0.45352,                0.43725,                0.21023,                  1.956,                 2.1452,                 2.0275,             0.00036324,             0.00036324,             0.00036324
                     82,                 2.2128,                 2.3005,                 2.1637,                0.45946,                0.48298,                0.41346,                0.20724,                 1.9275,                 2.1154,                 2.0055,             0.00034674,             0.00034674,             0.00034674
                     83,                 2.1916,                 2.2884,                 2.1303,                0.42899,                0.47562,                0.41295,                0.21026,                 1.9201,                 2.1152,                 1.9915,             0.00033023,             0.00033023,             0.00033023
                     84,                 2.2067,                 2.3381,                 2.1997,                0.42462,                0.46038,                0.41578,                0.20953,                 1.9376,                 2.1661,                 2.0071,             0.00031373,             0.00031373,             0.00031373
                     85,                 2.1218,                 2.2857,                 2.1416,                0.43085,                0.46704,                0.43007,                0.21908,                 1.9061,                 2.1294,                 1.9943,             0.00029723,             0.00029723,             0.00029723
                     86,                 2.1522,                 2.2887,                 2.1417,                0.45348,                0.50924,                 0.4511,                0.22814,                 1.8978,                 2.0994,                 1.9892,             0.00028072,             0.00028072,             0.00028072
                     87,                 2.1778,                 2.2652,                 2.1365,                0.42901,                0.52115,                0.44529,                0.22965,                 1.9094,                 2.1635,                 1.9942,             0.00026422,             0.00026422,             0.00026422
                     88,                 2.0412,                 2.1358,                 2.0596,                 0.4608,                0.51565,                0.44402,                  0.236,                 1.8941,                 2.1687,                 1.9701,             0.00024772,             0.00024772,             0.00024772
                     89,                 2.1275,                 2.1609,                 2.0433,                0.54865,                0.47934,                0.45838,                0.24896,                 1.8848,                 2.1043,                  1.963,             0.00023121,             0.00023121,             0.00023121
                     90,                  2.074,                 2.1759,                  2.036,                0.53929,                0.45232,                0.46315,                0.25064,                 1.8745,                 2.0666,                 1.9554,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.9397,                 2.3743,                 1.9938,                0.52732,                0.43919,                0.44614,                0.23431,                 1.8669,                 2.0789,                  1.946,             0.00019821,             0.00019821,             0.00019821
                     92,                  2.018,                  2.374,                 2.0772,                 0.5127,                0.46295,                0.43841,                0.22441,                 1.8587,                 2.0829,                 1.9475,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.9373,                 2.1252,                  1.981,                0.51328,                0.45979,                 0.4488,                0.23165,                  1.858,                 2.0854,                 1.9501,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.9366,                 2.1811,                 2.0116,                0.50074,                0.45882,                0.45226,                0.24107,                 1.8617,                 2.0977,                 1.9511,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.9914,                  2.266,                 2.0445,                0.50907,                0.46818,                0.46256,                0.24298,                 1.8558,                 2.0942,                 1.9506,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.9636,                 2.2258,                 2.0221,                 0.4875,                0.48176,                0.46705,                0.24988,                 1.8448,                 2.0842,                  1.944,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.9066,                 2.2344,                 2.0323,                0.50625,                 0.5053,                0.47419,                0.25752,                 1.8328,                 2.0665,                 1.9344,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.9146,                 2.1384,                 2.0057,                0.51272,                0.50374,                0.48175,                0.26424,                 1.8229,                 2.0526,                  1.928,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.9231,                 2.1449,                 1.9594,                0.55221,                 0.4868,                0.48973,                0.26706,                  1.816,                 2.0333,                 1.9225,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.9605,                 2.1858,                 2.0358,                0.53053,                0.53914,                0.50422,                0.27514,                 1.8081,                 2.0199,                 1.9172,             4.9677e-05,             4.9677e-05,             4.9677e-05
