                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6731,                 4.4229,                 4.2442,                0.00108,                0.25136,                0.00191,                0.00075,                 3.4785,                  4.522,                 4.1588,             0.00013336,             0.00013336,             0.00013336
                      2,                 3.7357,                 4.3981,                 4.2086,                0.00114,                0.25686,                0.00138,                0.00046,                 3.4773,                 4.5224,                 4.1558,             0.00028058,             0.00028058,             0.00028058
                      3,                 3.5627,                 4.2907,                 4.1506,                0.00116,                0.26785,                 0.0074,                0.00171,                 3.4739,                 4.5204,                 4.1481,             0.00042484,             0.00042484,             0.00042484
                      4,                  3.712,                 4.2446,                 4.1185,                 0.0012,                0.26953,                0.00377,                 0.0012,                 3.4697,                 4.5089,                 4.1364,             0.00056612,             0.00056612,             0.00056612
                      5,                 3.7708,                 4.2498,                 4.0538,                0.00112,                0.26617,                0.01681,                0.00635,                 3.4396,                 4.4883,                 4.1055,             0.00070443,             0.00070443,             0.00070443
                      6,                 3.5511,                  4.093,                 4.0194,                0.00116,                0.26785,                0.00222,                0.00074,                  3.441,                 4.4659,                 4.0805,             0.00083978,             0.00083978,             0.00083978
                      7,                 3.5595,                 4.1298,                 3.9459,                0.00106,                0.25518,                0.00174,                0.00062,                 3.4894,                 4.4873,                 4.0393,             0.00097215,             0.00097215,             0.00097215
                      8,                 3.6254,                 3.9676,                 3.8875,                0.00113,                0.16207,                0.00274,                0.00096,                 3.4618,                 4.4639,                 4.0716,              0.0011015,              0.0011015,              0.0011015
                      9,                  3.473,                 3.9087,                   3.73,                0.00145,                0.23685,                0.01564,                0.00444,                 3.4509,                 4.4996,                 4.1574,               0.001228,               0.001228,               0.001228
                     10,                 3.4252,                 3.9122,                 3.6488,                0.00126,                0.26357,                0.00135,                0.00051,                 3.4365,                 4.2956,                 4.1253,              0.0013514,              0.0013514,              0.0013514
                     11,                 3.4415,                 3.9679,                 3.5646,                0.00139,                0.23991,                0.00826,                0.00217,                 3.4863,                 4.1939,                 3.9949,              0.0014719,              0.0014719,              0.0014719
                     12,                 3.3486,                 3.8751,                 3.4548,                0.55145,                0.05495,                0.02129,                0.00655,                 3.5418,                 4.5672,                 3.5053,              0.0014855,              0.0014855,              0.0014855
                     13,                 3.3336,                 3.8573,                 3.4658,                0.59311,                0.03022,                0.03055,                0.00962,                 3.4499,                 4.5677,                 3.6628,              0.0014855,              0.0014855,              0.0014855
                     14,                 3.2738,                 3.8799,                 3.4668,                0.08892,                0.04945,                0.03049,                0.00586,                 3.2742,                 4.2325,                 3.3968,               0.001469,               0.001469,               0.001469
                     15,                 3.2813,                  3.801,                 3.3739,                0.74981,                0.03297,                0.03122,                0.00714,                 3.1824,                 6.5665,                 3.1426,              0.0014525,              0.0014525,              0.0014525
                     16,                 3.1197,                 3.7372,                 3.3085,                0.51817,                0.03297,                0.01433,                0.00526,                  3.108,                 8.2894,                 3.1706,               0.001436,               0.001436,               0.001436
